captured_at,date,sport,home_team,away_team,market,book,home_odds,away_odds,over_odds,under_odds,total_line
2026-07-03T20:41:40,2026-07-04,MLB,Houston Astros,Tampa Bay Rays,total,fanduel,,,100,-122,7.5
2026-07-03T20:41:40,2026-07-04,MLB,Houston Astros,Tampa Bay Rays,moneyline,betmgm,-110,-110,,,
2026-07-03T20:41:40,2026-07-04,MLB,Houston Astros,Tampa Bay Rays,spread,betmgm,-175,145,,,
2026-07-03T20:41:40,2026-07-04,MLB,Houston Astros,Tampa Bay Rays,total,betmgm,,,-110,-110,9.0
2026-07-03T20:41:40,2026-07-04,MLB,Houston Astros,Tampa Bay Rays,moneyline,draftkings,-112,-108,,,
2026-07-03T20:41:40,2026-07-04,MLB,Houston Astros,Tampa Bay Rays,spread,draftkings,-175,144,,,
2026-07-03T20:41:40,2026-07-04,MLB,Houston Astros,Tampa Bay Rays,total,draftkings,,,-114,-106,7.0
2026-07-03T20:41:40,2026-07-04,MLB,Los Angeles Angels,Boston Red Sox,moneyline,fanduel,-112,-104,,,
2026-07-03T20:41:40,2026-07-04,MLB,Los Angeles Angels,Boston Red Sox,spread,fanduel,-188,155,,,
2026-07-03T20:41:40,2026-07-04,MLB,Los Angeles Angels,Boston Red Sox,total,fanduel,,,-114,-106,7.5
2026-07-03T20:41:40,2026-07-04,MLB,Los Angeles Angels,Boston Red Sox,moneyline,betmgm,-115,-105,,,
2026-07-03T20:41:40,2026-07-04,MLB,Los Angeles Angels,Boston Red Sox,spread,betmgm,-200,165,,,
2026-07-03T20:41:40,2026-07-04,MLB,Los Angeles Angels,Boston Red Sox,total,betmgm,,,-110,-110,7.5
2026-07-03T20:41:40,2026-07-04,MLB,Los Angeles Angels,Boston Red Sox,moneyline,draftkings,-112,-108,,,
2026-07-03T20:41:40,2026-07-04,MLB,Los Angeles Angels,Boston Red Sox,spread,draftkings,-196,161,,,
2026-07-03T20:41:40,2026-07-04,MLB,Los Angeles Angels,Boston Red Sox,total,draftkings,,,-111,-108,7.5
2026-07-03T20:41:40,2026-07-04,MLB,Athletics,Miami Marlins,moneyline,fanduel,-142,120,,,
2026-07-03T20:41:40,2026-07-04,MLB,Athletics,Miami Marlins,spread,fanduel,142,-172,,,
2026-07-03T20:41:40,2026-07-04,MLB,Athletics,Miami Marlins,total,fanduel,,,-114,-106,10.5
2026-07-03T20:41:40,2026-07-04,MLB,Athletics,Miami Marlins,moneyline,draftkings,-143,119,,,
2026-07-03T20:41:40,2026-07-04,MLB,Athletics,Miami Marlins,spread,draftkings,139,-168,,,
2026-07-03T20:41:40,2026-07-04,MLB,Athletics,Miami Marlins,total,draftkings,,,-114,-105,10.5
2026-07-03T20:41:40,2026-07-04,MLB,Athletics,Miami Marlins,moneyline,betmgm,-145,118,,,
2026-07-03T20:41:40,2026-07-04,MLB,Athletics,Miami Marlins,spread,betmgm,135,-165,,,
2026-07-03T20:41:40,2026-07-04,MLB,Athletics,Miami Marlins,total,betmgm,,,-118,-102,10.5
2026-07-03T20:41:40,2026-07-04,MLB,Arizona Diamondbacks,Milwaukee Brewers,moneyline,fanduel,126,-148,,,
2026-07-03T20:41:40,2026-07-04,MLB,Arizona Diamondbacks,Milwaukee Brewers,spread,fanduel,-138,115,,,
2026-07-03T20:41:40,2026-07-04,MLB,Arizona Diamondbacks,Milwaukee Brewers,total,fanduel,,,-120,-102,8.5
2026-07-03T20:41:40,2026-07-04,MLB,Arizona Diamondbacks,Milwaukee Brewers,moneyline,draftkings,119,-144,,,
2026-07-03T20:41:40,2026-07-04,MLB,Arizona Diamondbacks,Milwaukee Brewers,spread,draftkings,-131,109,,,
2026-07-03T20:41:40,2026-07-04,MLB,Arizona Diamondbacks,Milwaukee Brewers,total,draftkings,,,-112,-108,8.5
2026-07-03T20:41:40,2026-07-04,MLB,Arizona Diamondbacks,Milwaukee Brewers,moneyline,betmgm,120,-145,,,
2026-07-03T20:41:40,2026-07-04,MLB,Arizona Diamondbacks,Milwaukee Brewers,spread,betmgm,-135,110,,,
2026-07-03T20:41:40,2026-07-04,MLB,Arizona Diamondbacks,Milwaukee Brewers,total,betmgm,,,-110,-110,8.5
2026-07-03T20:41:40,2026-07-04,MLB,Los Angeles Dodgers,San Diego Padres,moneyline,fanduel,-250,205,,,
2026-07-03T20:41:40,2026-07-04,MLB,Los Angeles Dodgers,San Diego Padres,spread,fanduel,-115,-104,,,
2026-07-03T20:41:40,2026-07-04,MLB,Los Angeles Dodgers,San Diego Padres,total,fanduel,,,-128,104,7.5
2026-07-03T20:41:40,2026-07-04,MLB,Los Angeles Dodgers,San Diego Padres,moneyline,draftkings,-252,203,,,
2026-07-03T20:41:40,2026-07-04,MLB,Los Angeles Dodgers,San Diego Padres,spread,draftkings,-120,100,,,
2026-07-03T20:41:40,2026-07-04,MLB,Los Angeles Dodgers,San Diego Padres,total,draftkings,,,-107,-112,8.0
2026-07-03T20:41:40,2026-07-04,MLB,Los Angeles Dodgers,San Diego Padres,moneyline,betmgm,-250,200,,,
2026-07-03T20:41:40,2026-07-04,MLB,Los Angeles Dodgers,San Diego Padres,spread,betmgm,-118,-102,,,
2026-07-03T20:41:40,2026-07-04,MLB,Los Angeles Dodgers,San Diego Padres,total,betmgm,,,-105,-115,8.0
2026-07-03T20:41:40,2026-07-04,MLB,Seattle Mariners,Toronto Blue Jays,moneyline,fanduel,-162,136,,,
2026-07-03T20:41:40,2026-07-04,MLB,Seattle Mariners,Toronto Blue Jays,spread,fanduel,140,-170,,,
2026-07-03T20:41:40,2026-07-04,MLB,Seattle Mariners,Toronto Blue Jays,total,fanduel,,,-122,100,7.5
2026-07-03T20:41:40,2026-07-04,MLB,Seattle Mariners,Toronto Blue Jays,moneyline,draftkings,-163,135,,,
2026-07-03T20:41:40,2026-07-04,MLB,Seattle Mariners,Toronto Blue Jays,spread,draftkings,-168,139,,,
2026-07-03T20:41:40,2026-07-04,MLB,Seattle Mariners,Toronto Blue Jays,total,draftkings,,,-117,-103,7.5
2026-07-03T20:41:40,2026-07-04,MLB,Seattle Mariners,Toronto Blue Jays,moneyline,betmgm,105,-130,,,
2026-07-03T20:41:40,2026-07-04,MLB,Seattle Mariners,Toronto Blue Jays,spread,betmgm,-165,135,,,
2026-07-03T20:41:40,2026-07-04,MLB,Seattle Mariners,Toronto Blue Jays,total,betmgm,,,-115,-105,7.0
2026-07-03T20:41:40,2026-07-04,MLB,Washington Nationals,Pittsburgh Pirates,moneyline,fanduel,138,-164,,,
